Player,2PA,3PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,2P%,3P%,eFG%,FT%,TS%
Michael Adams,10.9,5,4.6,0.7,3.2,7.7,1.9,0.1,2.7,2.1,18.1,0.425,0.324,0.444,0.869,0.506
Shareef Abdur-Rahim,14.8,0.8,6.3,2.4,6,2.9,1.2,1,3,2.6,19.8,0.47,0.3,0.469,0.801,0.536
Kareem Abdul-Jabbar*,14.6,0,5.1,2.2,5.5,3,0.7,1.4,2.7,3.6,20.1,0.565,0.333,0.564,0.714,0.597
Kareem Abdul-Jabbar*,15.8,0,5.5,2.2,8,4.2,0.9,3.2,3.4,2.5,23.3,0.604,0,0.604,0.765,0.639
Kareem Abdul-Jabbar*,14.1,0,4.2,1.8,5.6,2.1,0.7,1.4,2.5,3.4,18.2,0.532,0,0.532,0.762,0.57
Kareem Abdul-Jabbar*,17.6,0,6.7,2.4,7.5,3.3,0.7,2.8,3,3,25.3,0.574,0,0.574,0.766,0.616
Kareem Abdul-Jabbar*,13.9,0.1,3.5,2.2,4.9,1.6,0.8,1.8,2,4.2,15.9,0.477,0,0.475,0.739,0.511
Kareem Abdul-Jabbar*,17.5,0,5.9,2.3,6.5,3,0.8,2.8,3.1,3,24.4,0.58,0,0.579,0.706,0.608
Kareem Abdul-Jabbar*,17.3,0,5.2,2.4,6,2.8,0.9,2.4,2.8,3.1,24.3,0.589,0,0.588,0.749,0.619
Kareem Abdul-Jabbar*,17,0,5.4,2.3,5.7,2.9,0.8,2,3,2.9,23.6,0.579,0,0.578,0.723,0.608
Kareem Abdul-Jabbar*,16.5,0,5.4,2.2,6.3,3.4,0.9,2.2,2.7,3.3,23.7,0.6,0,0.599,0.732,0.628
Kareem Abdul-Jabbar*,18.3,0,6,1.8,4.7,3.8,0.9,1.8,2.8,3.4,25.3,0.565,0,0.564,0.765,0.603
Kobe Bryant,14.8,2.1,5.7,1.5,4.4,4.6,1.5,0.9,2.6,3.1,21.2,0.489,0.319,0.488,0.821,0.546
